date,transect,direction,meter_location,wet_mass_g,dried_mass_g,electro_cond_mS_per_cm,water_content_percent,EC Probe measurement
3/9/2022,NCOS_1_NS,NS,4,251.325,202.239,0.56,19.53,2.494
3/9/2022,NCOS_1_NS,NS,12,196.748,159.932,1.89,18.71,1.406
3/9/2022,NCOS_1_NS,NS,20,139.057,123.518,4.06,11.17,3.506
3/9/2022,NCOS_1_NS,NS,28,293.985,243.455,6.59,17.19,5.468
3/9/2022,NCOS_2_NS,NS,4,398.323,318.157,2.88,20.13,NA
3/9/2022,NCOS_2_NS,NS,12,239.192,188.733,3.41,21.1,NA
3/9/2022,NCOS_2_NS,NS,20,338.355,269.938,4.4,20.22,NA
3/9/2022,NCOS_2_NS,NS,28,213.192,173.139,4.72,18.79,NA
3/9/2022,NCOS_2_EW,EW,4,361.517,306.092,0.76,15.33,2.674
3/9/2022,NCOS_2_EW,EW,12,331.242,260.241,1.4,21.43,NA
3/9/2022,NCOS_2_EW,EW,20,297.581,231.19,2.71,22.31,NA
3/9/2022,NCOS_2_EW,EW,28,318.267,250.389,3.73,21.33,NA
